A,B,C,D,E,F
-0.7909,-0.6097,11.2500,8.5302,6.8673,10.8840
2.0759,12.3240,-0.6614,11.1050,10.7200,1.6745
8.7739,8.4756,11.5530,8.7077,0.4812,1.1435
10.5460,2.6511,7.7452,9.5847,-0.6739,1.6409
-1.0878,9.4687,-1.5928,0.3099,8.5657,-2.1811
-0.7812,11.2730,12.5030,0.6943,-0.0301,11.1160
7.6900,-1.2113,-0.3958,-1.0327,0.6932,9.9243
9.6380,-0.9880,8.7526,8.7508,10.1660,-0.4210
9.3137,10.4700,0.9858,-3.8864,11.9910,-1.2195
-1.7121,-0.3770,-2.0377,0.6916,10.4710,9.4885
2.0360,3.0031,11.1160,10.5950,-0.5926,1.1348
11.7460,-0.5203,1.9451,0.7416,-1.7493,6.5813
-0.4913,9.7963,10.8880,2.6481,1.0702,6.3110
7.0920,1.2768,-2.5399,9.9779,12.5930,1.2995
8.2665,13.0460,10.0990,11.2060,1.7372,11.4450
0.6460,11.5840,11.1190,10.2770,11.5170,12.6540
10.8940,8.7715,10.8490,12.6770,9.7753,-1.6258
8.4114,9.5139,0.1406,-1.0734,-0.0837,-0.3861
1.7519,10.7220,12.5800,6.0367,9.8623,10.7670
8.9076,2.6530,-2.6017,8.8499,-1.2063,10.7920
0.4084,-0.9942,9.7314,0.3952,1.0919,8.2855
0.7631,9.9463,0.6787,9.2355,-0.1412,1.5052
0.3763,2.5231,1.6595,0.0054,1.3152,-0.2420
0.3796,-0.7762,11.3530,0.8944,0.5736,10.6920
10.9400,10.9990,9.1344,10.1510,0.2447,1.4312
9.2286,10.8450,-0.3903,12.1960,9.7036,1.6043
11.4440,0.6464,-0.3274,9.2443,1.4821,1.7890
0.6916,-0.2324,8.4075,-0.7084,-1.8711,5.5760
-0.9883,0.2356,1.5218,-2.9264,-1.3140,10.9910
7.5343,-1.6682,-1.7015,11.0070,0.6565,6.9023
-0.5712,10.2420,11.9190,10.4780,7.7135,8.8460
10.8620,8.4576,-3.6167,-1.6878,9.5052,2.7921
9.0506,10.3400,13.3980,-1.5559,-0.3606,0.7096
-0.2635,6.2433,-2.0679,-0.6359,10.9200,2.7938
-2.4920,8.8753,10.9980,2.3792,-2.7218,9.7398
11.9630,-1.7080,9.0845,-2.9806,2.9190,-0.1769
11.7420,10.0350,0.6156,-0.1860,9.2073,9.8860
8.3867,8.6335,1.5893,8.1417,9.9106,8.9065
-1.7953,9.5667,10.0720,9.1031,1.8837,-0.0415
1.3721,0.4945,12.1980,2.2402,-2.2618,10.7570
-2.9895,-0.3732,2.0660,0.6653,9.1417,8.4004
0.3283,-1.8696,12.2830,-0.2731,9.9790,6.6741
-0.0897,-1.3420,10.2390,7.6253,11.0120,12.7630
1.9758,8.5478,7.8877,9.2184,8.9323,8.0222
0.1820,10.0670,-0.2830,10.3090,13.0610,8.1183
-0.0558,-0.9979,7.7773,10.7760,4.5256,8.0220
12.3820,0.5793,-0.0042,12.0310,-1.4266,8.7569
11.3910,9.1413,7.8473,2.1235,-2.8583,1.7097
11.7850,0.9334,-1.4692,10.2620,-0.2608,10.7920
0.2437,-0.5843,13.2520,7.7825,-0.4600,-1.9228
0.8344,-1.2217,0.6411,11.1890,-0.1232,11.2190
10.0220,12.6280,2.7372,9.6384,-0.5357,1.2167
-2.0345,10.4130,7.8409,2.1509,11.6290,9.6020
-0.3561,-0.4547,0.1247,9.2665,9.2990,1.7248
11.3840,-0.6933,7.9353,9.6339,8.4142,8.6416
-1.2666,9.7974,0.4478,11.1970,9.5815,8.1823
10.0370,7.6969,8.3893,7.6627,2.3100,1.3955
0.8885,8.2851,-0.3094,10.4140,0.1655,0.5181
-1.5100,9.7915,11.3820,6.3783,13.4540,9.4211
9.9085,11.3670,-1.0795,12.0550,10.3210,7.0413
-0.6979,12.2650,-1.3571,-0.2249,11.0770,9.9738
-1.1072,1.3435,0.4308,10.3640,-1.6850,7.5183
12.0340,-2.8606,-1.8063,-1.2122,9.7797,-0.1408
8.6193,2.5736,1.6848,11.3630,2.8626,9.2570
0.9946,1.3289,0.0568,9.1187,8.1594,1.8440
0.0240,0.6253,8.6775,-0.4360,10.0980,10.7210
7.9921,8.7168,-0.2230,7.9753,9.4588,-1.1246
1.4864,10.5950,10.6300,-1.4981,0.8795,9.3912
1.5727,1.2706,3.2002,9.1394,-3.1769,-0.0182
-1.3285,-1.7754,1.1079,10.7370,11.3100,-0.7820
10.8050,11.8760,9.7553,-4.5700,-1.0552,1.0397
9.9835,10.5130,10.5160,9.8831,-0.0859,9.4134
0.3834,10.9910,-1.2497,8.9949,8.3983,10.0200
-0.4598,0.5994,0.0455,12.0170,-2.3654,-3.1535
-0.4353,0.9068,13.1890,11.4330,2.6646,-0.4774
-0.9845,-0.9898,-1.8855,10.6200,-1.1344,0.2788
10.2020,-0.3833,12.0270,1.8937,14.5430,12.6290
-0.6913,0.0852,7.7823,0.9700,9.4696,0.5421
12.1990,11.0290,11.7150,0.4567,0.6419,7.5972
0.9046,10.5130,10.4380,1.2861,12.7220,0.0643
-0.0594,8.7354,7.3795,-0.2271,-3.0274,7.6129
0.9806,2.4205,9.7216,14.1270,-1.3312,-1.1978
7.7015,0.2517,2.5223,-0.3094,10.2680,-0.0780
8.9268,3.3738,1.2569,9.2571,-0.1183,10.8120
8.2392,8.2336,-0.0300,12.2120,9.0265,0.1262
6.0762,12.4620,9.9994,0.7513,9.9217,13.2670
-0.2039,9.4198,11.5120,9.7848,-0.1258,9.1702
-0.2724,11.3200,-1.6018,9.1924,9.2856,-0.8021
8.7025,-1.5365,-0.4977,-1.1656,-0.1496,-1.8774
8.1140,9.5562,8.6069,-1.7291,10.2910,0.1361
-0.4208,-1.1436,0.5885,11.8140,9.6233,-1.5310
10.0050,11.4370,0.6114,8.4949,6.7792,11.4630
0.1885,8.5068,12.8190,1.6398,10.7540,-0.8278
0.0496,11.6030,6.3108,1.6539,0.1152,11.5120
9.0969,13.9470,0.6569,-1.2236,0.8248,13.6490
11.2030,9.0361,3.9551,6.1559,11.9510,-0.0900
-1.2324,-2.6509,10.5250,-0.0626,9.4185,7.5855
9.5438,9.6343,2.7008,12.2700,11.0120,9.4828
9.7622,-2.5175,8.7925,11.4750,-1.3026,-1.2216
9.3216,11.2220,1.0925,10.9300,-1.5455,7.6692
9.5503,13.7220,-1.0284,2.6202,9.9189,1.2205
15.5640,10.4670,11.2640,11.4820,9.6521,10.0360
1.3303,-2.2538,12.8110,11.5250,0.4158,13.5970
10.5720,-0.2055,3.6338,-0.3184,0.2510,14.3870
-1.3889,0.0946,9.6777,-1.3034,8.9408,0.7027
1.4488,9.0978,8.7159,8.1878,2.9663,-1.1241
9.8533,2.5717,9.8421,-0.5499,-1.6445,13.7180
-0.2880,1.4160,0.9680,9.7943,-0.2909,-2.3281
0.7027,1.1927,-0.6878,-0.8699,10.3550,-2.8796
9.3135,11.4170,10.5160,2.5166,9.5802,11.6840
8.0685,-0.6703,10.4730,-1.7838,12.6820,8.6353
9.3887,-0.8494,10.1650,1.6910,0.9849,11.5020
2.0387,0.2782,0.9716,-0.4957,-2.4735,0.8894
-3.0634,3.4244,8.4963,2.5136,-0.4747,9.9292
3.5068,11.0230,10.8840,9.4791,9.4978,9.8615
8.9144,8.4602,1.2697,-1.7230,0.4220,9.1584
9.7669,10.7480,10.3000,0.5499,-1.4358,0.6285
7.9332,-1.6271,7.5000,1.0549,0.9263,6.7068
0.4844,-0.9313,9.7555,6.9240,11.5310,9.0536
2.4629,11.6670,-2.1878,-0.9415,10.7320,9.8001
1.5299,-0.6543,-0.3740,-1.7198,-1.3077,-1.3070
-0.6563,11.2800,-0.3664,11.9650,11.4930,-1.4610
3.8321,-0.0670,8.7736,10.2650,11.2020,0.3140
1.4484,-2.1784,8.6340,11.1790,0.3407,11.9200
-2.0363,-1.0235,8.0365,9.0775,13.1510,11.9680
-0.9955,-0.3387,10.9540,0.2520,-0.7533,-0.4654
11.0620,3.7755,9.4334,8.0655,10.0240,-2.0472
-2.0967,-1.2548,-0.6638,-2.0338,-0.6471,7.6098
-0.8508,-1.3212,-1.4103,-0.4585,10.7220,0.8052
9.3469,-0.2224,-1.5649,-0.0210,2.9111,-1.6446
2.5201,0.5468,1.2063,0.3749,-2.6207,8.8966
-0.8270,-1.0323,8.0911,11.2690,9.5573,10.8250
-0.5906,10.2710,2.4786,12.0020,11.3820,12.5350
9.4812,0.6350,11.1120,10.9580,8.5977,-0.3943
8.1135,7.4801,-1.4357,10.1980,8.7742,0.8746
11.5500,-0.3936,1.7518,-0.0205,10.4600,8.2468
9.2291,12.1760,10.4010,10.8090,8.7000,-0.0954
10.5050,7.5884,9.1390,9.0512,7.4130,11.3850
0.0509,7.5142,11.1770,0.6109,10.5010,-0.8187
10.4700,-0.2057,1.3483,10.4430,-0.2932,-1.7872
-1.0697,11.3020,-2.9410,2.8033,9.3282,10.0340
10.9690,-1.2392,0.7341,0.0525,8.9490,9.2668
0.7633,5.0068,11.0590,8.2625,7.3263,10.0380
9.6462,-2.6078,0.5450,0.8777,-2.4561,12.4040
10.5920,-0.7742,1.4250,-0.4315,11.2960,9.7069
-1.7030,1.6852,10.3880,9.1209,11.3950,0.5801
11.6620,10.7170,2.2271,-0.3078,10.7090,7.2128
-0.4902,-1.0695,1.2249,2.3773,0.4374,-1.1885
12.8040,-1.7599,10.5650,-1.7335,10.3950,1.6666
11.0700,10.0200,9.3838,11.5370,0.1177,9.0819
-1.5674,10.8530,9.7668,0.5520,10.4320,-0.5889
8.9455,10.5180,9.9901,-0.6185,1.5354,10.0310
8.1886,11.6830,12.0950,1.0009,9.5025,-2.4241
2.7540,9.7217,0.8956,11.7620,6.6287,1.0964
-0.5457,-0.3522,12.1720,0.1523,-1.3621,11.1420
-1.6325,9.7161,-0.7226,8.9727,2.7163,8.6976
-1.9097,-1.2238,10.0960,2.0107,0.3361,-0.9479
11.4290,8.6245,0.8275,0.5143,-1.0808,7.4077
0.4877,-0.6338,9.8944,0.3726,11.2740,1.5910
9.3006,1.7348,-0.9232,-1.5046,11.3400,0.5646
10.0270,11.6460,-0.6859,-0.0994,-1.3341,-0.3969
9.5272,-0.0944,9.4806,1.3271,9.2660,11.7300
3.4562,2.1575,0.7367,-1.7445,1.6381,0.2250
9.5971,9.5155,-0.8430,2.2577,0.5626,-2.0643
9.4927,-1.6851,-0.4458,10.8010,-3.1152,0.3123
1.1383,-1.2768,0.4639,0.7095,-1.6964,9.1733
0.5055,-0.4601,-0.9030,2.7357,9.8751,-1.2730
1.1792,-0.2581,9.9287,7.8882,9.2651,11.5210
0.5776,-0.2687,1.2726,2.0569,10.9400,11.0970
0.7409,-1.6544,7.4595,9.1524,0.4515,9.6595
-0.0163,11.2060,7.3449,1.5261,10.8600,1.4631
0.9196,11.5730,0.5826,11.3670,0.4527,10.6760
10.5450,1.5202,9.3797,-1.6978,0.1973,8.9812
14.6650,-2.1208,8.0334,-2.9211,11.7490,-0.7252
12.5350,4.2014,10.6380,1.0462,2.1295,3.4197
11.9550,8.8902,0.5049,11.5510,1.9606,-2.3091
2.9305,6.6024,-0.0527,1.5727,11.6120,-0.5829
-1.8385,8.2367,7.6784,10.8530,0.0532,7.5257
-0.4592,7.0446,2.6085,6.8746,0.1140,-0.3411
9.3210,-1.1980,-0.1384,0.7000,8.6255,9.2446
1.6906,8.7741,1.8303,-2.8851,0.5403,8.2210
10.7960,8.6053,11.2560,-2.9024,7.3596,-0.7515
10.2470,10.9430,9.4972,0.7051,0.1103,11.9200
0.8223,7.2523,9.8677,-0.8508,8.3564,9.9330
-0.5117,9.5536,10.5530,2.4311,1.4466,10.5540
9.2373,2.4116,0.3904,8.7091,3.9386,-1.4656
10.0380,10.3240,-1.0220,7.9666,9.0231,10.4710
0.7313,9.7641,1.4903,-1.4845,12.5130,10.6130
0.2508,-1.0465,-0.3102,1.7474,11.3450,0.3388
-1.4545,0.7847,-2.1449,10.7430,12.5010,8.7282
1.0007,10.8650,9.3734,-2.3631,-0.7473,10.5170
1.2385,1.1579,-0.0368,1.5432,0.4653,10.6900
10.9420,9.1662,-0.6282,12.1570,-1.8587,-0.5010
8.9289,2.4974,10.3170,2.6202,10.0100,-0.4129
12.0300,-1.9666,9.7285,10.5710,10.3880,7.8212
0.5911,11.8130,0.7282,2.2515,10.9570,9.2083
-1.2098,10.3110,1.2847,11.3570,11.6940,1.7677
11.1590,9.0104,0.2111,-0.3363,10.5540,-1.2064
-0.4000,10.3470,9.7093,10.3570,1.1333,-0.4069
7.8141,9.0150,9.5377,-1.1749,-0.9877,11.4820
12.1100,13.1950,5.9234,10.8690,10.9650,1.0631
10.4930,6.0696,1.1454,-1.1217,1.0936,0.5325
10.3020,-0.2723,-0.6613,7.8242,11.1110,11.6280
-0.1628,9.8289,10.7510,0.3410,-0.5175,10.8000
11.2130,12.7320,9.8080,0.1901,8.2273,-0.6616
9.4623,10.4930,-1.0697,-2.9817,9.9061,0.6765
0.4584,1.1112,1.3766,10.4130,9.4872,9.8807
13.7290,-1.1196,-1.4491,11.7130,10.9380,-1.6111
-0.9818,11.3250,10.7730,1.3594,8.2213,9.2505
0.7948,11.4400,8.4785,-0.1287,10.1350,-1.1164
-4.0593,-2.1520,-0.3473,-0.3972,1.1123,12.3030
0.1394,0.3191,-0.9559,8.6364,-1.0782,11.0290
-0.8314,0.5971,13.2520,-0.4617,-0.7154,1.2000
10.9630,1.5703,0.7004,0.6097,0.3583,9.2282
9.6872,0.1004,-0.7281,11.0230,1.2474,7.9515
10.4870,9.9911,11.7600,-2.7814,8.2032,9.6461
8.7198,0.0341,6.5569,1.4455,-0.5507,-1.4361
8.5118,1.6793,10.9770,12.1400,0.9774,0.0888
9.9238,7.0960,-0.5295,1.8031,8.7746,-2.0352
9.7110,9.4218,-1.6157,8.0572,9.3712,0.6731
8.8005,0.0569,3.0980,-2.3339,9.9279,6.6285
9.6956,11.6210,10.4840,8.8156,7.9956,9.4613
-0.6989,11.2290,-1.2314,10.3930,0.3019,11.8070
-2.2314,-0.8703,9.2720,-1.2911,2.5921,0.1888
-2.1939,9.5409,8.8855,-0.8812,-3.6540,11.1080
9.3478,11.0770,10.7510,3.5047,1.7811,9.8241
0.7378,2.0916,10.0130,1.6336,-0.2724,1.4122
13.4400,0.9562,-1.9559,7.4701,9.1339,0.2996
2.0927,9.6506,0.1535,11.2020,10.4600,1.0361
2.5509,12.6500,-0.8323,9.8250,9.8404,9.4666
8.8745,2.2369,-2.3619,9.0618,13.1200,10.4270
10.4240,9.3057,0.9253,10.3050,-2.2452,10.6020
2.2255,11.0710,8.6246,9.9500,11.2540,0.6723
9.0423,8.2934,0.5194,2.1844,11.0260,-0.7358
12.7980,11.8160,11.1450,6.5733,10.2190,10.5590
2.1117,-0.8291,12.9780,2.6885,-1.0769,9.6150
0.1964,2.1010,11.5340,1.3910,11.7540,9.9087
-0.7931,-1.6612,0.6351,-2.0129,9.5889,-0.3134
-0.6494,8.0590,0.4296,8.9159,-1.1088,9.9079
10.2340,-0.5123,8.3536,11.3670,-1.2994,9.0919
-1.6425,8.8470,3.7849,10.6610,-0.0740,-1.6648
-2.0227,1.4570,9.6500,11.6240,0.9422,12.1490
7.5624,11.0820,-1.2152,9.8318,7.3366,-1.7678
8.7666,10.2940,12.2020,-1.3685,0.5430,-1.5106
1.7273,-0.3732,11.9690,-0.2853,11.1600,9.9364
9.1347,11.3530,0.9881,10.3670,2.4702,13.2160
10.5460,0.4531,10.3690,11.2680,8.2958,12.6330
-0.5582,0.4117,0.2216,12.1840,10.6050,-0.9502
-0.9599,1.6170,0.7979,11.1720,0.8874,9.4626
1.3908,-1.1221,10.0900,0.7610,1.3483,-1.9188
10.1800,10.9740,0.7973,9.8231,2.7144,8.8288
-0.6075,9.6178,-3.6699,0.3390,-1.9386,11.7640
1.0413,2.7396,-2.5132,9.7139,0.5315,-1.4608
2.0356,-1.6521,11.8310,13.3090,1.8484,9.7849
11.5190,9.1459,-3.3404,10.4790,9.1083,2.0194
9.0996,9.7384,8.5887,10.8270,12.0280,3.7413
11.5730,1.0145,0.2915,8.9143,-0.0881,-2.7817
9.7467,5.8240,9.2591,11.2750,7.2816,3.2732
10.6330,3.4843,1.9002,10.2660,9.7773,2.3049
10.3720,12.7540,9.2972,12.5460,1.4361,-0.1813
-0.1584,8.4894,-0.2005,11.9190,1.0071,10.0510
10.9290,0.1989,-0.3701,13.6160,13.2550,9.8714
1.1178,7.1674,-3.6449,8.9210,11.4800,8.5169
9.7263,9.1977,-1.6199,9.6697,-0.4821,8.9788
0.1289,8.7540,-0.6249,8.5517,2.2118,10.8940
10.4190,3.6924,0.2333,0.2267,9.9405,3.1423
10.4570,11.8540,7.5381,9.5865,1.2642,0.2129
0.5191,9.5985,12.2540,-0.1762,9.5268,9.0839
-0.9701,9.4231,8.8854,10.4090,1.8895,-2.1057
-3.0676,-1.1510,-0.7942,11.1690,10.6170,-0.9076
2.5678,9.2947,7.6284,8.4333,1.4158,-4.1475
10.2420,1.8371,1.7577,1.0347,11.2320,9.2034
0.7210,9.1834,8.4128,9.0005,-0.1957,-0.2298
-0.6098,9.9438,2.2693,8.8965,3.4565,10.8410
-1.0757,1.2353,12.5400,-2.3148,10.6340,1.4416
1.5420,1.5473,0.2320,11.4360,12.3990,11.2450
-0.8420,12.5550,0.9348,9.4975,9.4439,9.9621
9.9515,1.0085,8.7059,11.4600,-1.1115,9.1967
9.8344,-1.0784,1.5083,10.5430,9.3185,-3.4069
-0.6352,9.6993,1.1891,-0.3302,-0.0284,0.9310
8.0789,8.9060,-0.3118,10.2070,13.1650,0.5422
1.6414,-1.0689,-2.2458,-1.5676,9.3331,-0.7195
12.7660,10.2070,-0.3558,7.6004,-1.2532,9.4536
9.3844,8.9083,1.0038,-0.4577,0.0153,10.7390
7.6198,-2.1086,8.0734,12.0060,2.0471,1.4559
12.8790,9.5451,1.5251,0.9666,-1.1263,0.1892
12.6250,9.2241,10.8600,2.2801,9.0234,-1.8746
10.5220,9.7505,8.5778,11.8840,9.2964,0.2065
9.5283,0.0492,0.2982,1.4330,8.7521,10.7480
-1.7916,2.1265,0.9613,9.8206,10.8170,7.1498
-2.1087,1.7083,11.4320,0.3589,1.2508,1.1222
0.9769,1.3697,10.4580,0.7125,10.6190,0.0685
9.4193,-3.0154,10.5700,0.4972,9.7682,10.6680
0.8067,10.1490,2.5030,11.0070,2.0359,1.5051
12.5340,1.0245,0.5256,10.1840,10.7130,-3.4392
0.9792,11.6730,7.0636,10.8280,10.9340,0.3893
11.6100,2.6798,11.1490,12.2770,10.6790,8.3555
0.1828,10.3730,-3.2906,10.2630,9.0918,0.5043
13.2610,-1.3379,14.2820,11.4430,11.4480,1.9182
9.5390,8.5454,7.4090,1.3379,0.6720,1.0675
-2.3942,8.8941,11.6810,13.0570,1.1397,11.8790
-1.3697,0.5860,0.3797,-2.7799,-0.1224,0.8285
-2.1999,-0.2305,9.8144,10.4900,11.0750,9.1828
10.7290,-4.0104,10.0500,2.2210,11.0880,6.9910
8.9192,11.5860,0.2820,9.9344,9.0338,10.8690
-0.2549,-1.0713,-0.6466,8.2185,-0.7795,11.1460
9.2124,10.7280,-0.3756,0.4466,10.9320,-3.7599
7.6283,-0.5670,0.0330,10.2240,7.8500,2.0050
11.6500,6.9795,-1.4225,-1.2505,10.0620,-1.1137
10.5330,-2.4332,9.5227,10.6240,9.6381,10.0910
10.2200,-0.0269,-2.4260,1.1255,10.8330,10.7630
10.6630,9.0919,11.9810,8.7947,0.1434,2.0033
-0.8526,-1.7920,1.3529,-1.0983,9.8084,7.9547
10.0950,0.6077,-1.9574,-0.6752,9.6904,-2.5662
7.4828,-0.1816,8.2305,9.4978,12.0700,-0.8842
2.7809,7.7240,7.3436,-1.3489,-2.3553,-0.8213
9.2392,8.9900,-2.7420,1.0073,1.5591,-1.3411
-2.6823,9.3754,10.8540,8.3825,9.9693,-0.9806
10.1710,-1.0655,7.5529,-0.4533,11.4470,-1.7521
-1.9942,1.2121,2.7120,0.7800,-0.9054,13.6120
1.1726,1.2930,-0.5785,-0.7769,9.8966,9.2872
-0.7661,7.9067,2.4242,0.3060,10.2060,-2.8764
-0.4592,8.6121,-1.8711,-2.5784,9.0012,1.0875
0.2246,10.1960,4.3782,14.6640,-1.0346,-0.8090
9.6170,1.5882,0.2682,-0.8753,7.2544,0.6799
-0.1365,-0.2459,1.3394,9.3121,9.8987,0.2199
9.8152,9.8772,11.4960,2.1500,1.6158,-2.1235
-1.2269,11.2300,0.1678,-0.4018,13.2260,-1.6391
3.9897,10.7070,11.6070,1.4613,-0.7181,2.4680
3.9768,11.7820,10.1860,-1.7025,-2.5370,7.4672
1.0962,11.9980,-0.7442,0.2968,4.3341,-0.0470
8.4944,0.5341,0.2281,1.0309,1.3688,9.9199
0.5642,0.3607,2.3125,11.2000,-0.5631,10.3350
-1.0739,9.9085,10.6100,-2.5795,10.9030,9.0834
0.7637,1.2529,2.7956,-0.8564,-0.4671,-2.0745
8.0671,1.5480,-1.3682,8.5359,6.9086,8.0823
9.2154,0.3263,8.3803,9.3727,0.9524,0.0350
-3.3489,-1.1468,6.4333,1.9768,-2.5766,10.8630
8.9441,6.6887,-2.6679,0.0699,7.8637,1.9088
10.4210,9.3900,7.0998,-2.2725,1.5042,8.6394
-1.5916,0.7624,1.9004,-0.1344,-1.4001,11.6000
-2.0300,0.3789,9.5632,8.6079,0.9902,9.7614
0.1933,-0.3677,10.3160,7.6466,9.1765,7.5326
-0.4559,-1.6817,10.2360,8.7692,-1.1510,1.5669
-2.5398,8.1882,10.7220,10.3740,1.2320,-2.7489
9.5510,-1.3939,-0.6098,10.4240,-1.9877,9.1160
-0.4427,3.3696,11.3320,8.5051,0.9875,9.8716
0.5868,12.2820,0.0012,-2.9624,-2.1589,-0.1942
1.8129,1.4551,10.6120,1.5209,-2.4815,1.3060
10.5850,8.6170,10.0170,-1.0363,11.2070,-0.1484
9.8640,-0.6096,-1.7963,8.8209,7.5515,8.8958
11.8660,9.9568,-0.3324,8.1767,-0.5840,11.4780
8.7914,9.8156,10.2850,12.3590,10.9220,11.5410
8.9176,-0.7106,8.2943,10.0420,11.3830,11.1650
-1.9095,-1.4069,0.1804,11.3580,-0.0422,8.4817
-0.7072,6.4279,0.8220,8.1067,12.7380,2.0677
10.5670,8.6218,-0.8273,-1.3262,0.6126,12.0540
0.0394,0.5812,5.4541,8.8516,0.8637,11.6660
-0.1057,-2.6716,-0.1295,0.6753,10.6680,0.0292
0.4061,10.1000,1.1250,9.8001,-1.4762,0.4606
-3.1291,9.2840,7.7795,8.7008,10.0040,3.8936
1.1352,8.9668,9.2154,8.1299,8.9216,0.9752
-1.5900,0.6979,8.9912,10.6650,0.6614,-0.7657
8.9550,1.8063,8.0944,4.9159,-0.0775,-0.1955
8.1864,9.2132,10.5230,9.7792,12.5970,7.6520
-0.2158,10.4770,1.3846,1.3441,9.5154,1.8053
10.5910,9.9559,9.7671,1.1312,0.2392,8.4227
9.9312,10.4330,0.5172,10.0890,-0.4279,12.3440
11.7090,2.8289,0.1199,10.3510,7.6775,10.1680
9.8816,-0.9933,-0.0011,8.6415,1.6764,11.1950
9.7062,10.3380,-0.4263,8.7975,3.2895,-0.3247
10.8660,10.7520,8.5707,11.0780,-1.4687,-0.0567
9.9002,1.1522,9.1262,1.1234,1.4442,10.9080
-1.0941,-1.3576,9.2314,-0.8485,-1.0208,9.5604
-0.4148,11.3340,10.1770,6.1289,11.9500,0.8319
2.0491,8.3802,-0.2690,9.5560,-0.5965,0.8925
-1.4504,9.3962,1.6135,1.5878,0.5040,0.5206
10.3760,0.0597,0.9914,9.6909,1.6537,8.3887
13.1600,2.4178,0.4382,1.1878,-3.3212,12.3740
2.4444,0.8331,-1.1235,10.3970,8.6346,13.8900
1.2238,-1.9824,8.6430,-0.6827,9.4014,-1.9934
-1.5579,0.1602,-1.9422,0.0659,-0.9261,-1.1006
8.9664,-0.9515,9.7402,10.6570,11.5550,1.9702
9.7635,8.4442,-0.5702,11.5260,-1.0006,0.6685
10.4100,-1.0665,2.8018,-0.4340,12.4260,1.3684
2.7100,9.7847,10.6020,12.9100,10.3180,10.2290
0.9437,9.5981,-4.2755,9.7424,10.9990,7.7253
-0.5720,-2.9035,11.2070,10.3180,10.5120,-0.2053
9.2729,10.7060,11.4680,-1.1302,11.9610,8.1604
-3.3542,12.5020,0.5370,0.1556,9.9771,10.3710
-0.5010,10.1800,1.2329,-1.0197,10.5990,8.9121
8.6980,1.4944,1.1080,0.9130,0.2734,7.8939
7.6315,9.3381,0.9230,-1.0667,-0.3530,1.2293
14.3740,-0.1761,9.3159,-0.7069,9.9185,9.9986
1.8966,10.2820,-0.9725,12.2150,10.7110,-0.1658
10.2940,12.1370,0.2784,1.8344,11.2770,11.8340
10.8130,9.4399,-1.6390,-0.8303,7.0860,0.3504
0.5024,1.9378,9.7332,0.8188,-0.5723,9.8679
11.7290,0.5880,11.2050,0.2403,9.1484,2.3762
10.7490,0.9031,10.2210,9.8424,-0.7940,-1.8043
1.3967,-3.0573,-0.3808,-0.6899,11.4280,8.5539
11.4370,9.2176,10.2870,0.2200,8.3746,-1.0924
7.8137,9.0327,10.5150,0.6790,1.7877,9.7528
10.4580,-0.0126,0.9568,7.4460,0.4358,2.1803
-2.8898,9.9311,-0.3933,1.9094,-4.1454,8.0774
0.9859,2.7903,10.6030,-0.2200,-0.1928,-1.5468
11.0890,-0.1431,-4.3582,8.6144,-3.8129,-1.5695
10.3890,0.3582,11.0840,0.9445,10.4020,11.0040
-4.2576,12.1890,10.6300,0.6504,-0.1192,9.3743
10.8730,3.4103,9.6727,13.0200,0.8241,9.0137
10.1090,6.8121,11.9870,-0.2957,2.5459,-1.6742
9.9515,11.3730,12.2520,0.6883,0.3372,8.0416
11.2820,2.9036,0.1513,10.4260,9.7544,0.0939
9.0532,0.5420,7.5829,11.9350,7.3269,-0.4016
0.9280,10.8630,1.0640,12.2480,8.2920,12.6440
10.9080,2.2808,11.0050,12.3310,9.5511,8.4574
9.4496,7.9084,9.8223,9.4672,0.2257,-0.1745
0.9663,3.2032,12.2700,-0.6336,7.2130,-3.0490
12.0100,10.8740,1.7780,7.3273,2.6842,11.3480
-0.2389,10.8990,0.9899,8.4703,11.6180,1.4160
-0.4838,-2.0161,2.6327,-0.8537,1.2250,11.2860
10.2070,11.1420,9.2399,-1.1393,11.7460,-1.3081
-0.5329,9.2721,2.9109,-0.4035,7.3196,-0.6024
9.0550,9.8506,0.2744,0.2233,-0.8305,8.6436
3.1564,-2.0144,7.3831,7.2712,7.7286,12.7300
1.9239,11.5080,9.2683,0.5573,-2.3910,9.0169
-0.1531,-0.2836,15.1530,2.4258,3.8279,-1.3043
8.3300,10.5540,1.9958,2.4930,11.1630,0.0522
12.0150,-0.5700,11.5630,0.3403,12.4820,10.3210
8.3146,-0.7776,11.5090,0.4571,10.8160,9.8186
12.9300,-2.7278,8.7605,8.5974,1.3251,-0.3157
11.5970,2.5773,9.7289,8.5682,6.2242,10.8940
11.5600,-2.2839,11.2180,3.2650,-0.2003,-1.0426
-2.1373,8.5805,1.6379,-0.3533,-1.5469,8.0028
-2.0609,12.7770,9.0795,1.1236,9.5555,9.6827
11.5420,9.6089,7.6366,2.1222,10.2900,9.9517
1.3986,-0.2443,10.8200,8.7652,0.3324,-1.2354
10.2600,0.5981,0.8751,-1.6089,-0.5523,10.4770
13.9250,1.7141,11.5150,10.7460,11.9600,9.8011
10.6080,10.4300,9.2565,9.7168,9.4227,8.9870
-3.9070,11.0810,8.0987,12.5750,-2.7224,-1.7435
8.3037,11.2780,9.3023,12.1160,10.3410,-0.9492
9.8718,10.3040,9.5859,9.3969,9.9965,0.1756
1.9078,11.9230,11.4260,10.1410,0.3463,10.8050
